latency_ms,packet_loss_pct,availability_pct,energy_usage_pct,resource_utilization_pct,network_health_score
30.38,3.99,95.51,72.82,44.59,43.32
38.91,2.79,99.41,87.58,79.49,48.77
27.11,0.8,92.9,36.81,72.75,58.22
38.9,1.22,99.4,89.02,21.46,59.38
31.96,1.26,95.87,66.31,21.08,58.55
57.66,1.17,91.48,22.16,55.92,37.48
30.86,4.6,99.77,83.36,94.45,44.96
13.25,4.73,94.05,25.53,23.16,52.8
35.94,1.23,91.47,22.83,27.79,51.53
26.06,2.39,96.81,69.14,79.97,55.14
26.67,0.47,95.72,78.52,47.73,62.85
16.01,1.81,93.2,89.55,68.54,55.36
44.21,0.42,90.08,24.58,58.92,46.16
14.76,0.92,93.15,65.34,40.81,64.29
39.88,4.37,90.57,33.88,93.57,27.27
52.04,0.22,92.09,55.21,83.83,42.15
5.58,0.93,95.9,25.23,91.63,76.73
38.22,3.61,99.78,37.97,48.08,52.37
44.36,1.39,93.72,55.75,94.96,43.55
23.94,0.13,90.95,82.44,79.18,54.71
44.53,1.07,99.44,40.5,26.74,61.41
43.57,3.98,92.12,42.61,71.09,30.37
40.59,2.79,95.77,25.81,24.67,49.44
48.76,0.24,93.77,27.24,85.88,50.07
39.64,3.89,95.92,24.35,61.75,43.11
38.53,2.74,99.81,90.89,29.93,52.19
30.9,1.76,95.1,64.27,22.87,55.27
7.24,4.92,90.34,76.81,55.08,41.3
7.59,4.72,98.84,46.5,91.79,60.28
34.75,4.95,92.01,75.91,93.54,26.16
23.8,4.06,95.27,67.66,42.59,47.08
23.34,0.35,99.59,57.7,82.86,73.5
46.42,3.94,97.7,77.67,54.04,37.39
57.94,1.98,94.06,73.04,33.71,34.44
36.2,3.27,90.65,36.09,34.79,37.87
55.05,2.91,91.17,85.14,97.55,21.35
40.64,3.69,95.11,81.24,48.28,36.88
21.76,4.02,99.94,49.1,22.58,60.66
22.2,1.09,91.14,54.2,79.02,54.12
14.62,0.35,97.64,60.67,29.58,77.19
30.6,2.03,91.64,30.59,43.0,49.56
18.16,0.95,91.86,35.53,36.51,62.67
27.41,3.17,97.08,79.79,73.59,50.21
7.54,4.51,99.09,25.14,51.14,66.04
35.01,0.2,98.46,83.58,89.0,62.14
53.79,3.0,93.51,55.16,80.34,30.2
12.98,3.17,97.89,75.1,80.6,60.62
22.58,2.79,99.3,87.6,82.89,58.22
26.05,4.29,99.86,76.93,34.86,53.21
54.94,3.38,92.94,93.68,41.24,24.57
24.64,4.46,97.0,48.76,46.26,49.73
50.56,4.39,93.7,83.67,38.85,24.77
50.53,2.01,99.48,21.03,82.98,52.35
16.77,3.65,98.33,84.79,91.49,55.28
47.22,0.24,93.85,68.34,76.54,47.53
51.5,1.69,98.95,86.89,20.44,48.83
36.04,0.17,93.47,67.67,66.46,54.39
41.73,1.97,93.15,71.36,23.71,43.11
53.15,4.9,92.14,77.99,20.82,19.06
42.83,0.71,93.36,83.46,38.47,47.22
28.29,1.26,98.19,77.84,22.71,64.18
22.51,4.12,99.23,70.09,21.43,56.28
56.16,4.05,96.4,81.4,84.48,26.49
14.99,0.32,90.92,49.0,85.21,62.1
48.94,3.65,97.47,76.85,69.89,36.14
46.69,1.93,95.96,94.04,92.31,40.22
41.34,1.01,91.92,63.95,46.97,45.24
54.83,3.91,99.8,87.83,98.12,33.47
42.12,0.52,97.42,81.11,95.38,54.09
24.33,0.0,90.9,63.99,58.8,57.85
31.9,0.68,94.74,47.19,57.86,59.32
29.43,1.1,90.45,48.67,33.67,51.21
25.85,1.66,93.73,58.89,22.93,56.61
25.77,3.08,93.4,85.98,70.34,43.83
24.01,3.11,90.77,67.91,63.68,41.6
26.01,0.89,90.27,21.4,84.73,54.13
21.05,1.82,98.4,70.12,71.65,64.48
45.01,1.33,92.17,77.01,55.31,40.22
40.2,0.87,98.13,49.8,41.84,60.73
5.05,2.85,99.8,69.31,27.43,74.0
48.63,4.9,96.7,89.97,69.9,27.22
30.46,0.84,93.29,58.17,35.7,56.53
10.29,4.46,97.63,40.19,90.52,58.24
6.63,0.59,92.13,41.44,21.61,72.12
29.22,0.07,96.11,68.34,54.61,64.78
7.55,2.35,95.87,72.89,34.15,66.5
47.51,2.68,98.77,82.14,38.72,45.47
25.54,2.31,97.16,61.99,43.06,59.12
37.83,3.43,97.46,39.6,29.92,49.64
7.73,0.28,97.63,31.62,94.18,81.35
36.62,4.44,91.17,72.28,96.17,26.14
18.24,2.35,94.32,91.21,30.73,55.31
59.2,0.34,91.1,81.21,59.03,33.9
54.58,0.46,96.73,71.68,50.93,48.71
40.28,4.52,98.28,47.22,88.38,40.66
35.56,2.91,96.91,63.79,64.56,48.33
55.37,2.72,92.7,85.35,52.82,27.39
31.42,3.21,92.3,51.88,29.95,42.99
47.3,3.55,95.03,77.74,43.51,34.0
35.97,3.2,97.72,56.2,29.89,50.72
35.81,3.13,93.6,68.09,86.04,38.94
49.44,0.44,90.6,37.01,49.08,43.16
53.15,4.07,95.62,52.16,26.09,32.49
35.26,1.7,92.71,70.89,87.28,44.32
24.88,1.39,94.1,49.22,44.97,59.13
46.19,4.17,95.34,79.13,34.34,32.49
5.5,4.1,91.67,26.4,61.04,53.83
36.73,2.73,96.31,63.96,25.03,49.28
34.03,1.1,90.36,67.78,48.5,45.63
38.58,0.4,99.25,55.75,87.95,63.39
33.18,1.18,97.72,61.85,47.8,61.07
28.46,1.27,96.44,32.22,62.62,63.12
24.66,0.77,97.03,25.03,20.44,71.88
45.87,4.82,99.42,81.64,33.26,37.36
44.7,4.34,98.23,53.08,23.92,41.43
20.91,2.22,99.89,53.42,83.31,66.61
11.67,3.7,94.3,43.87,83.16,54.53
44.24,1.95,94.23,47.91,85.5,43.12
10.67,1.2,99.55,29.08,90.14,79.29
22.55,0.74,96.46,64.92,52.29,66.57
5.21,4.89,91.43,83.1,55.74,44.19
29.71,0.61,97.89,59.16,67.2,65.61
14.96,1.64,98.24,63.23,54.71,70.25
17.37,3.48,97.38,51.23,26.4,60.5
54.97,0.64,90.57,88.96,90.92,31.52
27.34,4.84,94.35,43.65,34.12,42.02
35.43,0.97,90.14,46.02,41.93,47.45
7.57,0.99,95.29,85.09,33.77,70.91
20.06,3.99,91.17,62.61,57.18,41.25
59.49,0.65,99.2,94.97,25.15,48.69
41.1,2.92,92.63,38.58,42.32,40.02
38.71,5.0,90.9,58.82,77.01,23.85
54.99,4.28,95.15,69.85,82.79,24.78
50.54,1.73,95.68,49.35,69.89,43.98
47.64,0.9,91.42,42.4,57.94,42.61
13.75,0.6,99.55,89.92,22.08,77.73
51.92,1.57,96.42,91.89,89.56,40.17
10.82,3.3,98.26,36.85,97.22,64.97
23.67,2.88,90.88,71.77,48.96,43.51
27.36,4.18,93.28,39.74,84.45,41.05
33.48,0.01,96.09,54.34,25.22,65.37
19.68,2.39,91.63,28.96,63.5,53.4
36.31,4.1,90.68,75.54,30.94,29.99
16.28,4.59,91.6,94.04,98.53,36.16
23.96,0.08,99.12,88.84,26.73,73.23
36.36,4.12,96.08,36.82,57.56,43.18
26.18,4.58,99.12,57.24,32.38,52.29
5.79,4.79,97.04,56.65,23.23,59.83
42.7,1.58,98.76,66.95,37.95,55.41
32.88,1.01,92.75,53.19,90.96,50.85
59.65,3.68,93.27,55.62,81.51,22.71
14.63,4.62,90.21,37.28,64.26,41.59
59.01,1.7,94.05,24.19,73.16,38.12
41.43,2.97,98.79,26.55,53.34,52.54
31.41,1.49,95.11,20.95,91.38,57.28
45.66,0.75,97.38,28.4,27.65,59.38
13.65,0.06,91.87,74.91,64.35,64.51
47.04,4.01,94.61,60.22,29.32,33.43
50.89,2.75,93.84,63.7,50.11,34.53
57.83,3.28,98.95,83.67,70.44,34.92
38.4,2.42,99.85,72.77,22.57,56.15
56.75,2.12,96.79,94.93,73.19,35.78
51.25,3.37,92.05,35.45,49.23,30.49
25.78,2.55,92.1,46.09,22.72,50.26
38.96,1.54,97.91,34.84,42.21,59.16
25.83,4.23,98.47,29.97,25.9,55.97
32.63,3.23,91.48,46.88,74.45,38.83
43.46,4.53,95.21,92.46,72.92,28.8
23.96,4.54,90.91,66.23,59.45,35.15
16.02,3.99,90.93,78.93,48.6,42.0
28.48,1.25,92.95,30.01,34.31,57.82
37.56,0.41,91.98,86.01,53.09,48.1
19.14,2.66,95.33,36.57,31.69,60.64
10.03,2.18,94.24,62.18,22.88,64.2
52.0,4.3,94.35,52.26,37.57,28.92
46.87,2.39,93.93,26.58,54.79,42.39
10.24,2.52,94.1,28.94,83.55,62.4
40.31,3.03,99.82,66.07,97.78,48.79
32.79,3.27,91.51,57.1,26.68,39.97
42.52,2.29,90.71,80.1,60.69,33.42
24.18,0.35,94.15,88.1,82.44,59.13
28.45,2.71,96.02,80.0,51.1,50.87
7.67,2.75,96.47,27.14,93.68,67.18
25.45,0.99,92.73,60.64,76.86,55.34
29.21,4.62,94.06,31.23,50.09,41.86
17.88,1.84,96.27,64.52,81.65,62.07
36.56,4.38,94.51,45.73,95.67,35.84
55.17,1.05,90.45,78.74,63.83,31.5
53.85,2.05,94.12,64.31,77.51,35.35
28.12,1.78,97.78,68.17,90.75,58.43
59.19,1.45,98.71,89.94,62.19,42.56
14.79,0.37,91.06,71.26,74.57,60.56
45.59,1.4,98.48,70.21,78.98,51.64
49.32,3.45,97.36,80.29,78.12,35.94
17.5,0.39,99.27,92.67,56.02,74.01
30.21,1.88,96.89,82.47,27.25,56.63
51.22,1.4,91.79,75.87,93.77,33.59
34.01,1.39,91.34,29.64,95.0,47.6
17.98,2.45,99.33,28.1,64.95,69.58
19.52,0.11,93.5,42.97,42.37,68.3
21.36,3.49,91.22,65.94,58.0,42.68
30.03,2.03,93.79,54.35,95.0,49.21
45.24,3.57,99.19,66.79,44.61,44.48
33.65,0.31,92.19,57.94,31.66,55.27
28.02,1.02,94.51,91.55,39.88,55.97
27.18,3.93,92.71,31.75,42.49,44.13
22.39,2.43,94.52,75.76,24.68,54.67
32.57,3.23,92.27,57.37,51.84,40.5
57.62,0.1,99.07,69.97,93.9,51.39
59.49,1.5,94.42,63.8,66.95,35.93
22.44,2.13,96.42,35.68,53.56,62.48
24.15,0.36,98.69,90.47,72.84,68.39
42.59,2.42,94.5,72.48,93.51,39.42
30.62,0.46,95.75,35.61,55.54,64.5
57.5,0.48,95.9,88.13,40.31,44.05
23.2,3.41,94.04,51.28,83.07,47.82
59.56,0.08,96.08,49.25,84.39,46.9
43.99,2.21,99.29,90.95,74.52,48.31
56.33,3.42,96.23,47.87,79.42,32.8
34.74,0.91,94.89,59.26,98.85,53.51
29.76,2.81,97.4,80.96,67.52,51.41
43.56,0.72,93.04,62.25,97.25,45.25
27.44,2.69,93.49,81.75,40.14,46.9
5.33,2.87,97.04,21.53,32.25,72.78
22.77,2.37,93.7,63.3,51.56,52.99
6.71,1.01,95.7,75.55,31.91,73.18
17.61,3.25,95.17,25.76,38.68,59.02
35.52,3.49,94.03,87.27,96.13,35.75
17.16,2.5,91.47,77.05,51.03,49.86
22.69,4.41,99.65,75.8,67.42,52.71
36.58,0.08,94.13,30.92,49.79,60.33
13.96,1.05,96.14,24.69,54.26,73.49
41.83,4.94,96.3,30.6,51.25,37.18
12.46,4.45,99.94,78.18,82.72,58.2
53.94,4.71,94.38,75.72,48.79,22.83
23.69,4.99,96.11,55.99,77.68,43.54
5.91,2.72,91.21,68.27,67.39,55.07
51.31,0.59,98.5,87.04,92.1,49.93
22.61,2.65,99.33,80.29,52.63,61.18
26.3,4.55,99.3,86.56,79.91,47.42
28.44,0.57,91.53,47.55,97.07,53.53
7.7,3.89,96.78,77.44,37.24,59.89
59.23,4.04,94.74,35.35,74.91,26.49
13.15,3.9,93.23,56.36,42.27,51.3
25.74,0.19,91.06,61.99,83.99,55.31
53.86,2.64,97.52,26.43,61.43,43.79
16.27,1.94,96.24,26.6,24.8,69.11
55.93,1.75,98.16,27.68,60.17,48.21
37.22,4.4,97.43,70.85,69.17,39.97
44.8,3.8,90.79,29.62,69.39,29.25
17.24,2.38,97.75,36.1,38.56,67.71
22.24,4.99,92.25,50.37,32.17,39.58
11.11,2.69,90.16,85.96,75.93,47.79
49.67,4.71,93.94,26.16,69.56,28.46
24.7,1.46,94.83,94.22,59.76,55.13
35.25,1.87,98.24,59.42,20.74,59.01
30.33,3.34,95.49,28.02,98.89,48.34
17.45,4.36,99.33,51.2,33.68,59.57
7.5,4.35,96.17,83.93,41.33,55.62
44.36,2.28,92.59,70.17,60.61,37.13
52.37,0.67,98.57,92.63,37.6,51.21
41.62,3.48,97.39,69.5,84.24,41.25
6.78,2.37,93.22,29.75,85.86,63.25
27.5,1.93,91.03,87.47,27.41,45.78
45.69,2.83,97.77,56.6,34.86,46.57
39.98,0.75,95.99,76.34,24.97,55.35
8.79,2.58,99.0,42.56,20.36,74.54
10.7,3.52,96.68,89.14,32.64,58.79
9.86,4.01,99.1,29.74,22.26,68.16
17.26,3.43,98.87,87.03,56.94,58.69
54.64,0.02,96.3,55.94,41.02,52.08
18.9,3.36,99.94,87.01,52.32,60.42
15.11,0.58,93.22,78.69,31.45,65.06
38.56,4.6,97.15,61.07,39.93,40.06
58.04,1.78,91.75,88.97,45.04,28.6
38.97,0.99,96.52,83.1,34.52,54.67
25.14,1.99,94.9,28.25,67.96,58.53
53.79,4.73,96.34,61.39,82.77,26.49
39.8,0.58,95.03,88.48,88.82,50.01
42.66,2.12,95.1,44.99,72.92,45.84
12.45,1.23,97.95,89.85,58.5,70.39
11.97,3.73,93.42,38.4,32.8,55.51
48.38,0.36,96.96,23.2,36.98,58.9
28.09,3.47,94.13,71.16,59.42,43.97
27.3,2.58,90.05,66.56,74.66,40.41
41.66,0.16,98.44,90.55,79.8,58.05
14.02,2.35,97.33,63.75,35.51,66.36
46.87,1.97,97.46,80.12,78.23,45.0
52.67,4.81,90.55,25.97,74.61,19.1
12.69,2.45,91.57,59.25,77.2,53.49
36.75,2.1,93.23,30.87,30.62,49.3
47.04,2.6,90.8,23.6,66.26,34.69
33.37,0.75,98.99,78.72,52.17,63.72
32.7,3.09,90.28,36.24,92.93,37.24
49.44,4.16,90.2,69.97,38.66,21.02
24.8,3.79,97.45,32.75,28.62,56.37
54.64,3.67,92.49,51.17,37.67,26.85
33.87,0.38,95.56,61.92,36.55,60.86
9.55,1.07,94.01,63.03,82.49,66.5
42.06,4.74,91.82,32.06,51.95,28.89
32.79,0.28,91.05,94.78,39.25,49.6
40.9,1.99,98.56,27.71,56.21,57.05
40.88,4.3,90.43,25.84,93.96,27.57
52.6,3.62,96.65,60.53,46.79,35.24
16.29,4.19,95.63,47.37,70.69,52.28
20.24,2.18,94.31,72.28,73.22,54.68
30.09,1.48,91.39,45.44,74.97,49.05
7.42,0.67,91.85,46.75,83.28,67.07
32.77,0.11,90.43,48.61,79.25,51.81
30.89,0.26,90.75,53.45,57.79,53.43
6.34,4.93,94.42,61.14,51.92,51.68
42.97,4.03,95.64,22.41,64.17,39.91
10.71,2.49,93.63,31.19,39.83,63.26
5.12,1.44,92.26,49.83,99.54,64.29
11.02,4.83,97.28,20.39,36.56,59.95
57.16,0.26,94.81,94.47,29.91,43.09
11.74,2.79,93.61,51.97,24.58,59.78
25.84,0.96,90.04,69.19,85.28,48.59
7.05,3.14,97.37,52.0,65.96,66.31
34.31,2.82,98.97,84.7,73.29,51.11
43.97,2.34,91.32,56.43,60.27,35.89
45.38,0.29,98.41,30.4,74.32,61.38
53.29,1.91,90.84,62.79,69.91,30.4
42.84,4.68,92.15,93.74,62.32,22.7
9.33,2.91,98.15,35.16,29.9,71.12
20.8,2.42,97.15,80.07,22.18,60.59
56.11,0.93,96.65,81.53,96.76,42.02
36.82,1.15,96.97,32.77,63.57,59.61
47.01,4.97,93.6,77.99,75.66,22.55
17.71,4.49,91.44,78.76,49.05,39.47
26.55,4.71,91.34,79.63,24.42,34.04
31.6,0.7,98.07,25.59,28.26,69.72
16.94,4.32,92.83,42.98,62.37,46.49
45.67,1.86,94.86,69.3,54.69,43.37
34.68,4.3,94.15,65.79,76.09,35.63
50.05,0.93,99.94,61.23,65.02,55.83
12.21,1.36,97.97,27.39,95.96,74.28
5.92,3.99,96.34,40.44,87.85,60.75
45.71,0.34,98.52,26.99,88.7,60.77
13.77,2.11,91.41,48.76,31.81,57.57
55.4,0.8,92.88,76.72,37.9,38.93
31.51,2.57,92.89,73.92,76.26,42.84
30.08,0.18,98.49,38.85,38.27,72.26
27.36,3.4,93.7,80.44,23.27,44.79
42.34,0.54,96.14,39.82,49.43,57.72
26.14,2.95,96.88,26.66,75.03,56.9
15.88,4.7,97.08,38.6,26.41,55.93
20.54,2.58,95.38,74.38,80.46,54.06
32.83,0.24,94.52,28.85,74.49,61.51
13.55,1.3,97.23,25.83,30.95,75.72
27.75,1.34,99.89,47.04,42.97,69.6
26.11,0.31,94.89,42.85,57.57,65.41
30.18,4.56,97.27,70.02,24.21,45.43
30.58,3.23,96.9,53.6,41.56,51.87
53.14,0.82,92.41,90.09,72.81,36.17
16.84,2.17,90.73,72.6,34.42,51.52
15.89,0.39,94.29,29.96,54.68,71.35
50.44,3.48,97.06,29.56,74.59,39.8
8.47,3.27,97.7,72.14,52.89,64.11
48.99,4.41,97.07,86.74,62.04,30.92
55.42,0.6,95.92,50.64,98.18,45.6
55.2,2.59,96.25,55.83,91.93,36.23
56.28,3.11,95.67,91.15,61.3,29.83
35.76,1.07,97.23,67.78,56.35,58.08
14.86,4.09,97.95,84.64,68.7,54.62
8.28,0.68,94.26,34.76,91.14,72.14
10.07,2.89,92.84,21.84,89.81,58.51
26.6,3.95,94.89,56.84,43.78,46.22
6.51,2.59,94.61,64.42,58.49,63.0
50.18,1.18,95.06,25.04,25.78,50.32
29.48,4.14,92.71,29.24,30.68,42.6
59.2,4.98,92.24,48.11,96.22,14.44
56.95,3.77,96.14,46.84,40.84,32.54
6.66,2.66,95.25,77.65,93.1,60.77
45.46,0.66,93.69,47.92,41.15,49.93
36.37,3.22,94.24,79.14,32.52,41.01
6.93,3.3,99.09,40.8,66.22,70.12
50.24,2.18,95.24,81.61,75.56,37.48
9.1,4.22,91.35,92.27,73.85,43.21
27.69,3.63,92.8,43.6,95.31,41.71
13.67,3.72,91.8,68.39,38.08,48.03
34.62,3.74,93.95,48.88,27.83,42.17
52.6,4.93,94.03,26.65,24.97,27.96
40.43,1.8,92.43,41.39,87.36,43.12
26.05,2.11,91.82,73.88,82.22,45.99
32.04,3.64,93.77,68.31,48.98,40.82
25.02,2.84,93.3,52.13,74.15,48.45
40.38,4.63,99.27,45.73,43.39,44.43
49.1,3.86,94.29,92.08,73.78,26.92
28.27,4.74,92.2,75.36,57.37,33.31
50.04,2.52,94.68,66.15,66.08,36.79
40.27,4.11,95.77,64.46,86.74,36.05
33.08,3.87,99.12,87.02,93.66,45.66
45.89,1.71,94.0,53.93,67.68,43.14
37.71,2.65,95.52,84.25,53.25,44.06
57.81,1.68,92.43,75.94,78.65,30.23
12.18,3.63,90.57,69.69,90.69,44.19
12.55,1.45,97.03,44.62,60.46,71.82
39.77,1.08,92.15,87.61,67.03,42.93
37.01,4.32,96.74,81.4,41.11,39.47
42.89,0.38,93.66,71.51,93.03,47.87
50.03,0.51,93.83,33.06,67.25,48.4
53.43,2.94,90.35,85.74,89.59,20.88
12.22,4.61,90.92,43.34,66.06,43.81
17.8,1.85,97.0,42.2,42.04,67.75
55.0,4.12,92.53,89.3,73.07,18.86
58.52,0.18,98.17,35.44,58.21,53.89
21.22,0.89,97.96,49.0,20.89,72.81
30.11,1.86,98.03,58.34,37.72,60.99
36.76,4.74,94.84,69.23,33.58,35.31
48.76,3.63,97.09,82.0,26.22,37.25
15.29,3.96,98.98,76.03,57.32,58.5
52.76,4.1,93.77,94.93,44.73,23.65
6.16,3.64,94.37,26.93,80.26,60.13
26.8,3.85,96.09,92.86,56.9,44.72
10.99,0.03,93.54,56.8,97.03,69.79
50.65,3.79,94.71,46.3,41.08,33.41
20.58,4.64,93.3,40.3,95.48,42.27
37.68,4.95,98.78,92.9,89.83,36.41
21.83,4.73,95.89,90.75,83.41,41.78
55.27,4.97,92.51,64.21,25.85,19.29
30.59,3.59,97.66,68.83,93.43,47.48
59.25,1.71,91.88,73.12,88.75,27.93
30.3,1.93,95.45,75.29,65.28,52.27
25.41,3.11,97.28,30.71,51.42,58.11
12.56,1.1,94.11,35.09,74.74,67.95
27.1,3.73,96.89,83.29,74.25,46.85
9.97,0.96,98.21,81.5,79.98,73.47
57.48,1.62,93.11,73.57,78.66,32.35
27.43,2.38,97.73,30.03,94.09,59.41
41.93,1.04,91.83,52.63,32.85,46.39
55.01,0.98,97.24,54.28,83.59,46.94
53.37,4.63,95.04,23.16,29.83,31.09
35.72,1.68,98.76,27.2,46.69,62.64
56.45,0.62,95.68,81.7,72.9,42.59
26.77,0.59,90.09,31.29,48.03,55.61
35.48,0.58,97.69,67.38,61.64,61.35
43.65,1.15,93.15,43.16,63.56,46.86
38.62,4.15,90.64,64.75,32.25,29.27
55.73,1.75,91.42,26.03,94.42,33.31
34.33,4.04,99.45,25.38,57.66,52.66
16.64,3.75,90.26,28.55,32.67,47.31
42.62,2.81,94.4,57.96,97.57,38.52
58.14,3.8,94.5,72.45,81.96,23.79
54.3,4.49,96.69,33.0,69.21,31.61
11.2,3.72,96.36,32.09,99.24,59.23
18.51,2.55,99.04,26.53,32.99,69.94
43.83,0.33,90.55,36.64,62.91,46.36
29.89,4.18,98.79,21.76,40.91,54.5
7.77,1.09,91.08,45.86,93.66,62.76
10.95,0.3,99.72,76.98,55.93,80.88
46.61,1.03,96.65,38.38,86.76,52.02
47.95,2.93,93.08,47.89,53.97,35.23
20.46,1.29,94.45,43.53,68.61,62.42
39.26,4.25,96.36,57.04,25.8,40.92
35.75,3.41,91.09,34.73,53.88,37.51
16.34,3.99,97.74,82.98,66.17,54.11
49.27,1.22,98.58,28.93,62.45,55.46
59.86,3.84,93.07,24.91,39.0,26.6
14.81,1.08,96.34,94.68,31.89,67.34
5.46,1.75,98.42,69.67,97.41,72.98
36.23,4.31,95.9,28.89,26.82,44.27
46.52,0.88,90.58,53.16,94.35,38.82
56.17,4.55,93.4,86.48,98.37,16.76
17.2,2.45,95.92,59.86,24.52,62.06
6.14,4.78,97.97,52.15,61.07,60.09
25.84,3.38,97.9,23.62,62.07,57.95
27.1,0.89,95.58,56.48,25.57,63.53
44.01,1.65,93.31,26.84,60.11,46.3
34.51,0.16,91.35,61.44,43.37,52.85
30.15,4.75,90.13,26.05,99.69,30.81
16.72,4.24,99.8,68.65,47.37,59.14
7.72,0.42,94.68,27.04,39.32,77.95
