tower_id,temperature_c,power_usage_pct,traffic_load,weather,cpu_usage_pct,failed
T6,73.41,79.02,1783,storm,17.74,1
T9,74.56,98.19,1639,storm,39.11,0
T1,65.38,50.37,392,storm,98.91,0
T4,20.08,96.18,1567,storm,57.64,0
T3,24.33,86.85,977,rain,17.17,0
T8,36.52,92.68,1270,clear,58.92,0
T8,65.4,65.56,993,storm,75.54,0
T7,26.23,86.36,153,fog,13.87,0
T8,22.69,80.33,1421,storm,34.9,0
T8,50.65,69.59,490,fog,78.02,0
T1,68.88,76.67,447,storm,56.25,0
T7,20.88,69.72,1292,rain,77.49,0
T8,69.81,35.64,972,fog,42.97,0
T6,50.34,91.95,342,storm,83.03,1
T10,55.89,28.21,1221,fog,16.61,0
T9,57.57,91.08,459,storm,89.59,0
T5,39.69,57.1,860,storm,48.22,0
T9,32.02,94.97,433,clear,37.14,0
T7,52.57,72.04,1112,rain,67.98,0
T6,53.57,85.63,982,clear,22.59,0
T3,47.49,80.29,1268,clear,77.75,0
T2,35.51,47.91,1558,fog,26.89,0
T6,31.37,74.97,1654,rain,92.88,1
T3,56.64,37.64,1040,clear,78.74,0
T6,33.98,90.27,250,storm,68.02,1
T5,28.17,94.87,1585,clear,67.87,1
T5,30.6,61.75,1101,rain,26.84,0
T5,25.44,82.19,1504,rain,95.59,1
T4,46.56,64.93,542,fog,46.63,0
T7,63.07,89.52,513,fog,90.5,1
T7,43.9,69.2,1767,rain,39.56,0
T9,27.48,78.65,1276,storm,78.09,0
T9,34.49,98.99,250,storm,73.23,1
T7,28.44,47.34,1241,fog,14.88,0
T10,46.46,48.65,945,fog,53.85,0
T4,42.5,46.74,534,clear,28.97,0
T7,34.4,81.98,1709,rain,66.91,0
T10,24.31,58.38,221,rain,44.0,0
T2,66.35,35.97,141,clear,61.61,0
T9,50.99,46.56,1257,rain,29.79,0
T2,22.45,43.2,1188,fog,92.53,0
T8,23.07,33.84,1690,clear,43.4,0
T10,45.31,44.85,189,clear,36.09,0
T1,52.5,59.92,1280,clear,36.73,0
T10,58.02,28.61,1588,fog,37.49,0
T2,43.26,95.26,1246,storm,96.58,1
T10,63.23,71.14,407,rain,79.64,0
T5,61.98,77.94,959,clear,84.65,0
T5,44.06,97.88,1664,clear,60.91,1
T8,45.75,24.89,1114,clear,42.85,0
T1,30.53,82.69,595,fog,23.27,0
T10,68.1,68.59,1068,storm,70.39,1
T6,32.0,22.19,932,storm,61.48,0
T8,49.58,44.87,891,clear,27.99,0
T6,33.93,92.66,926,fog,85.23,0
T2,41.03,59.62,955,rain,83.38,0
T1,41.22,22.52,1391,clear,36.19,0
T6,66.71,69.56,1611,fog,86.0,1
T8,58.14,46.32,1387,rain,93.88,0
T2,73.72,75.37,674,fog,22.57,0
T7,57.28,69.05,201,storm,31.02,0
T4,71.96,66.83,1705,rain,49.37,1
T10,73.71,51.19,1330,rain,41.77,0
T4,62.47,42.01,854,storm,37.62,1
T2,23.42,26.47,1788,storm,84.09,1
T5,41.11,66.44,1769,rain,31.97,0
T6,57.3,42.58,683,clear,56.74,0
T2,59.96,91.64,1332,storm,50.41,1
T9,66.81,29.62,619,storm,13.0,1
T5,67.28,94.39,1315,clear,78.09,1
T7,40.95,21.57,1195,rain,25.55,0
T10,72.97,50.5,238,storm,26.09,1
T3,45.07,48.88,1561,storm,11.16,1
T2,56.04,42.61,841,clear,26.38,0
T2,65.77,63.45,240,fog,73.23,0
T3,24.57,50.3,777,fog,86.55,0
T10,55.99,79.07,1240,fog,52.56,0
T4,24.69,30.66,1083,clear,45.64,0
T2,68.65,79.64,1609,fog,35.92,1
T1,63.91,49.78,1617,clear,43.8,0
T7,65.01,58.2,962,storm,80.68,1
T7,51.68,32.42,1773,clear,42.45,0
T2,50.76,62.27,709,fog,92.41,0
T2,72.24,86.29,1518,fog,84.72,1
T7,71.17,27.9,193,rain,57.27,0
T9,62.2,69.16,262,rain,81.53,0
T10,37.27,84.73,1002,rain,39.69,0
T9,33.35,23.23,309,rain,92.53,0
T4,61.55,90.34,988,storm,60.6,1
T5,30.35,75.45,874,rain,92.34,0
T2,31.75,36.66,1142,clear,79.29,0
T3,53.59,83.56,1557,clear,92.14,0
T10,56.47,24.95,1767,storm,74.92,1
T4,73.47,25.54,720,clear,32.02,0
T8,68.92,31.58,1124,clear,56.13,0
T1,38.83,58.37,475,fog,57.22,0
T6,47.81,80.19,936,fog,14.78,0
T10,25.66,31.16,1799,storm,40.82,1
T8,41.09,39.97,588,fog,44.68,0
T4,40.77,61.65,601,fog,90.87,0
T6,27.61,59.93,579,storm,42.97,0
T9,28.4,97.97,288,fog,74.89,0
T8,66.91,21.81,884,storm,58.73,0
T6,68.39,95.02,873,rain,90.51,0
T4,68.45,60.79,1141,clear,57.83,0
T2,28.73,97.69,457,clear,18.54,0
T6,31.19,38.85,482,rain,88.32,0
T6,54.33,65.88,122,clear,58.26,0
T2,54.18,28.47,1237,rain,91.37,0
T9,55.67,25.9,1657,clear,77.14,0
T5,41.55,30.88,631,clear,18.88,0
T10,33.3,77.69,917,fog,98.62,0
T8,26.89,40.9,171,clear,57.13,0
T6,37.42,41.04,923,rain,86.22,0
T9,65.41,68.17,103,rain,57.21,0
T8,66.95,54.99,1490,storm,75.83,0
T10,71.38,98.57,491,storm,56.71,1
T5,55.3,42.94,233,rain,23.04,0
T6,41.45,56.29,268,rain,63.71,0
T8,25.88,44.99,1660,clear,49.15,0
T1,46.63,85.79,1522,clear,81.57,0
T2,30.78,98.08,1437,clear,54.31,0
T6,68.21,49.5,1624,rain,17.05,0
T9,67.5,31.16,1419,storm,96.99,0
T2,30.68,67.38,1103,rain,94.45,0
T2,35.83,74.48,187,storm,81.82,0
T8,63.33,64.64,1228,rain,74.71,0
T9,30.7,38.99,295,clear,45.86,0
T5,29.06,62.18,793,fog,12.56,0
T1,37.36,88.69,1224,clear,31.36,0
T4,31.05,61.09,911,rain,13.54,0
T8,46.74,35.07,1336,clear,76.23,0
T3,52.48,37.27,182,rain,52.75,0
T6,25.65,66.35,1443,fog,73.78,0
T4,39.91,48.43,782,rain,60.93,0
T9,28.02,99.28,1618,rain,15.94,0
T1,29.91,27.7,606,rain,28.74,0
T4,24.7,63.24,1192,clear,97.81,0
T7,21.1,68.58,1679,storm,37.3,1
T6,50.08,57.82,1628,clear,95.57,1
T9,50.03,35.16,1387,storm,47.6,0
T6,64.87,41.05,559,clear,76.21,0
T5,56.21,94.46,497,storm,13.9,0
T8,37.61,79.02,433,clear,96.31,0
T7,29.95,42.63,1129,clear,53.54,0
T10,70.96,46.89,204,clear,58.48,0
T7,30.42,27.75,998,rain,74.27,0
T2,22.15,76.29,1388,rain,88.73,0
T5,43.93,64.73,549,fog,73.43,0
T6,54.74,27.46,494,clear,84.58,0
T9,57.07,59.85,527,fog,96.12,0
T9,63.99,57.46,200,rain,93.49,1
T8,23.15,32.47,340,storm,33.88,0
T1,21.12,22.96,459,clear,51.51,0
T7,42.34,79.13,1789,fog,69.3,0
T8,31.22,92.07,1795,storm,35.11,1
T4,44.84,95.87,168,storm,82.42,1
T3,58.32,93.32,1071,rain,74.75,0
T1,26.88,57.3,1688,fog,68.43,0
T6,29.34,20.71,1433,rain,34.09,0
T7,44.76,30.86,1210,clear,39.15,0
T7,34.16,51.08,542,storm,53.7,0
T5,40.68,77.9,1331,rain,91.26,0
T1,57.29,99.61,1318,storm,42.72,0
T1,68.21,51.04,1747,fog,43.39,1
T3,70.47,25.82,1749,clear,68.34,0
T2,71.39,60.32,1216,fog,67.55,0
T9,53.11,85.87,195,rain,27.36,0
T6,67.74,96.62,911,fog,99.5,0
T2,35.52,24.89,1002,rain,27.34,0
T10,58.66,69.05,1594,clear,18.75,0
T9,68.53,25.88,1468,clear,94.58,1
T3,74.87,86.34,560,fog,52.76,0
T4,63.09,73.29,688,rain,64.41,0
T4,52.3,26.06,913,fog,15.92,0
T1,25.01,64.83,240,fog,25.97,0
T7,59.15,32.92,809,clear,60.07,0
T10,43.32,72.79,1261,storm,15.64,0
T8,62.6,94.53,377,storm,35.26,1
T3,52.64,24.77,1093,fog,13.05,0
T2,39.2,86.34,474,fog,16.19,0
T6,56.68,49.54,910,clear,82.89,0
T7,63.97,99.61,1427,fog,79.46,1
T8,48.1,99.37,262,storm,55.68,1
T8,65.22,48.23,464,clear,34.5,0
T6,50.53,22.34,151,fog,23.98,0
T4,56.15,51.49,1718,rain,93.34,1
T9,42.66,97.72,1122,clear,11.06,0
T5,53.42,34.81,1361,clear,67.4,0
T3,23.93,43.78,398,fog,52.39,0
T2,29.17,32.46,122,storm,15.07,0
T7,29.68,95.95,1490,rain,53.55,0
T3,66.71,96.58,1643,rain,92.32,1
T6,69.14,99.91,624,clear,48.12,0
T10,38.07,44.6,888,clear,97.33,0
T6,55.99,68.4,885,storm,44.85,0
T10,26.75,45.31,146,clear,21.48,0
T1,61.15,53.09,1119,fog,61.53,0
T10,56.52,77.26,1677,rain,65.53,0
T6,62.45,57.75,1698,storm,55.25,1
T6,66.6,69.5,833,fog,58.88,0
T5,48.03,42.83,623,storm,12.45,0
T1,48.49,43.96,1079,clear,14.26,0
T1,50.63,53.67,1650,rain,96.91,1
T10,21.81,97.4,486,clear,29.08,0
T5,20.19,70.31,1376,clear,46.36,0
T6,72.47,75.47,1184,clear,66.33,0
T9,42.46,59.58,896,fog,12.23,0
T9,65.48,38.5,405,rain,62.15,0
T2,72.79,87.61,1796,storm,87.1,1
T3,51.77,35.07,849,rain,31.21,0
T1,59.84,86.96,1788,fog,56.67,0
T2,26.04,44.23,226,storm,80.79,0
T9,56.56,64.93,587,clear,21.31,0
T6,61.7,35.03,349,fog,46.51,0
T5,33.73,35.36,597,clear,97.63,0
T8,68.52,39.54,233,storm,47.08,1
T9,56.67,54.66,226,fog,79.64,0
T5,41.91,82.39,1539,clear,38.77,0
T1,27.46,29.46,1409,storm,28.63,0
T6,38.48,38.2,434,rain,10.19,0
T6,48.62,97.39,1664,clear,85.24,1
T3,61.85,27.88,255,storm,62.09,0
T5,62.82,57.34,689,rain,71.86,0
T8,33.55,92.61,1161,rain,60.91,0
T3,52.04,99.12,1591,clear,75.87,1
T4,67.76,71.67,125,fog,16.59,0
T1,71.8,24.66,1250,storm,39.99,1
T7,37.69,64.47,157,clear,27.6,0
T1,51.45,99.18,1723,rain,90.55,1
T8,55.5,88.1,1215,clear,18.85,0
T7,64.74,48.16,1618,clear,55.11,1
T4,60.53,99.14,406,rain,20.98,0
T5,51.81,33.24,993,storm,53.67,0
T1,38.12,56.89,1142,storm,74.95,0
T10,68.72,99.73,1340,fog,55.57,1
T5,27.42,20.88,690,storm,36.82,0
T7,55.79,77.71,1366,clear,38.08,0
T8,28.1,59.36,171,clear,62.7,0
T8,65.94,52.28,799,storm,48.04,1
T2,24.68,74.77,1685,rain,56.72,0
T2,61.09,69.75,1179,clear,98.23,1
T5,34.83,65.4,358,rain,15.17,0
T1,53.33,84.72,991,fog,45.17,0
T3,32.04,84.6,1504,rain,90.02,1
T6,61.51,58.25,729,clear,26.72,0
T9,20.83,84.1,593,clear,96.21,0
T4,36.52,94.81,450,fog,29.52,0
T5,46.03,47.37,1608,rain,77.68,0
T3,63.16,21.7,513,clear,54.06,0
T7,61.37,56.21,522,rain,89.76,0
T10,55.28,23.64,1682,rain,24.81,0
T2,72.23,76.75,1663,clear,90.1,0
T2,39.74,28.15,1780,rain,82.56,0
T3,30.9,78.18,1741,fog,32.67,0
T8,58.0,50.24,894,clear,28.54,0
T10,49.82,48.96,1120,storm,97.83,1
T6,47.44,39.78,1497,rain,21.98,0
T6,69.6,35.62,514,fog,10.33,0
T10,43.29,61.48,594,storm,48.4,0
T10,22.57,59.9,222,rain,53.43,0
T9,52.92,76.96,523,fog,62.51,0
T10,23.58,47.91,1794,storm,83.09,0
T7,69.01,49.16,494,rain,61.59,0
T6,42.84,20.23,639,fog,52.13,0
T8,29.16,28.73,540,clear,71.25,0
T1,69.4,25.17,524,fog,59.79,0
T5,71.99,22.41,1398,fog,73.98,0
T1,20.98,21.3,1110,storm,72.11,0
T9,68.85,26.74,471,storm,84.32,0
T1,31.0,69.63,1736,storm,91.99,0
T4,59.94,25.21,944,clear,69.54,0
T4,57.35,44.28,702,storm,87.95,0
T2,37.66,84.7,132,rain,16.23,0
T4,42.81,52.02,517,clear,42.53,0
T5,60.12,81.71,978,clear,49.14,0
T7,69.56,74.93,1671,storm,73.59,0
T1,56.1,35.26,1024,clear,84.79,0
T9,64.08,35.23,677,storm,50.83,1
T2,68.4,69.89,657,storm,58.63,1
T2,29.65,21.75,931,rain,93.2,0
T9,44.57,28.22,1706,rain,50.98,0
T4,31.4,23.44,572,clear,28.11,0
T6,47.8,35.42,1693,fog,73.59,0
T3,41.08,81.17,1668,clear,27.88,0
T8,33.19,28.72,1488,clear,55.02,0
T7,59.01,52.63,1419,clear,14.16,0
T5,37.63,35.63,204,rain,34.76,0
T9,25.43,92.84,594,fog,61.73,0
T1,30.88,32.3,327,rain,28.54,0
T10,39.36,47.59,1433,rain,56.15,0
T1,36.25,88.63,655,clear,92.61,0
T3,51.94,96.49,221,clear,67.86,0
T9,69.67,84.8,246,clear,43.11,0
T10,44.09,75.37,635,storm,31.84,0
T9,63.63,98.01,1739,rain,21.63,0
T2,41.26,46.62,165,clear,49.06,0
T8,50.45,84.06,1594,rain,50.86,0
T7,40.15,93.66,497,fog,72.78,0
T5,68.29,30.27,1263,rain,84.09,0
T5,33.01,31.03,244,rain,39.09,0
T3,64.3,96.97,1207,clear,41.19,1
T9,36.58,62.53,281,storm,37.52,0
T6,28.1,69.62,124,storm,19.24,0
T2,29.97,36.34,226,clear,21.46,0
T3,34.37,36.98,683,rain,77.99,0
T3,28.36,55.28,1189,rain,62.26,0
T4,54.53,41.83,311,storm,57.11,0
T6,71.45,71.85,820,clear,16.52,0
T6,43.63,88.6,1015,rain,23.29,0
T5,31.43,89.83,1676,rain,62.56,0
T4,43.41,89.9,682,clear,36.68,0
T9,37.35,21.79,135,storm,57.84,0
T5,30.19,99.26,899,fog,83.12,0
T8,39.11,78.61,1485,rain,20.25,0
T5,53.13,28.09,788,rain,37.48,0
T3,35.09,45.92,1259,fog,89.02,0
T6,21.33,33.06,1418,rain,36.46,0
T8,53.73,74.11,883,storm,15.0,0
T2,65.25,54.32,1306,storm,87.1,1
T6,48.67,81.75,281,fog,84.22,0
T1,34.03,22.23,385,storm,88.49,0
T9,26.34,85.98,658,rain,81.43,0
T6,73.35,89.85,1103,clear,31.2,0
T3,48.97,96.62,718,rain,24.29,0
T7,70.24,79.05,1306,fog,90.99,0
T6,54.03,84.54,308,clear,57.25,0
T10,45.58,33.98,326,fog,59.5,0
T10,60.84,89.8,615,storm,69.69,1
T9,60.2,23.87,1089,clear,56.3,0
T5,69.59,74.58,1055,fog,24.13,0
T3,60.84,43.5,303,rain,88.16,0
T9,71.84,71.78,432,rain,55.38,0
T1,22.16,35.68,657,storm,78.52,0
T9,68.65,89.79,1560,storm,84.77,1
T4,28.92,64.33,376,clear,38.34,0
T9,24.54,40.62,652,rain,82.16,0
T9,51.18,75.23,910,rain,90.53,0
T8,30.84,50.43,1690,rain,10.58,0
T8,35.42,37.27,111,rain,22.09,0
T9,68.53,49.67,399,storm,75.56,0
T6,36.93,59.34,279,clear,62.19,0
T9,61.48,29.19,543,clear,10.02,0
T4,56.11,78.74,1558,clear,38.26,0
T1,41.34,43.95,625,clear,96.86,0
T10,41.0,39.86,1571,clear,22.75,0
T6,62.94,44.57,605,rain,82.04,0
T3,20.37,71.13,213,fog,61.6,0
T3,30.84,35.49,661,rain,83.9,0
T2,45.79,83.59,1597,rain,62.54,0
T1,60.19,69.88,323,rain,71.72,0
T10,38.01,42.87,1767,clear,30.55,0
T4,68.74,51.37,1318,clear,87.69,0
T1,45.13,98.95,867,clear,13.04,0
T5,21.28,98.33,1777,rain,49.58,0
T10,37.96,54.2,198,clear,92.13,0
T10,60.62,70.71,385,storm,15.95,1
T9,71.53,74.44,1072,fog,16.44,0
T8,65.03,81.63,1763,fog,49.36,1
T2,29.1,80.03,387,fog,26.25,0
T2,37.95,70.5,376,fog,10.47,0
T10,31.91,47.66,1295,clear,45.29,0
T7,27.23,52.09,729,fog,71.99,0
T8,55.07,42.43,556,fog,36.56,0
T9,23.09,40.23,626,clear,99.15,0
T8,20.81,95.58,1426,storm,86.88,1
T1,24.26,88.33,1519,clear,81.8,0
T10,22.71,71.12,567,storm,92.4,1
T9,44.24,97.15,1764,clear,23.26,1
T3,29.64,20.08,333,fog,68.79,0
T9,23.49,31.65,992,fog,78.26,0
T10,20.47,65.46,1521,storm,69.73,1
T2,56.85,69.42,808,storm,53.89,0
T7,71.88,48.29,1410,rain,44.41,0
T6,34.95,94.28,274,clear,51.49,0
T2,35.3,55.58,1263,rain,97.63,0
T3,32.41,82.19,331,storm,91.87,1
T6,25.69,22.17,1273,storm,13.35,0
T2,38.23,24.48,1633,storm,53.95,0
T3,29.75,72.33,1078,rain,64.11,0
T2,64.43,36.19,1348,storm,48.6,1
T1,47.45,54.08,812,rain,99.99,0
T1,73.38,64.54,668,fog,48.52,0
T2,42.57,63.48,1733,clear,30.47,0
T3,40.25,79.64,1167,fog,99.03,0
T9,41.31,88.89,337,rain,17.31,0
T2,39.25,46.22,191,fog,59.89,0
T4,36.25,73.09,1094,storm,52.94,0
T2,29.76,98.45,782,clear,13.55,0
T10,70.25,72.53,253,storm,92.95,1
T2,29.3,88.35,820,clear,62.13,0
T9,33.56,38.61,543,storm,21.93,0
T3,31.2,73.73,1543,clear,85.99,0
T1,50.29,58.08,621,rain,93.85,0
T3,25.65,35.09,1161,rain,75.28,0
T7,23.52,89.19,1096,storm,59.25,0
T1,72.44,98.07,1645,fog,64.1,1
T5,74.39,69.53,366,storm,23.86,0
T4,37.97,23.98,579,storm,24.01,0
T6,30.53,69.43,960,rain,43.7,0
T9,33.23,86.19,515,fog,78.53,0
T1,63.47,29.75,1690,clear,67.81,0
T4,59.4,87.64,351,rain,58.98,0
T1,68.44,95.99,133,clear,45.14,1
T3,32.03,21.0,1248,rain,16.42,0
T6,71.85,46.62,972,storm,52.57,0
T4,52.46,31.42,1501,storm,44.23,1
T3,45.76,20.13,959,rain,58.76,0
T1,29.32,62.05,1400,rain,26.3,0
T10,60.11,56.32,1187,storm,90.07,1
T1,20.06,31.37,450,clear,87.78,0
T6,70.39,21.3,320,rain,59.78,0
T1,43.17,35.47,1695,rain,32.69,0
T4,73.41,40.85,452,storm,90.21,0
T8,25.02,21.52,360,storm,37.35,0
T7,58.23,28.62,675,rain,49.5,0
T8,39.03,27.03,430,rain,33.2,0
T7,20.9,77.16,1316,clear,72.41,0
T6,42.67,70.45,759,fog,64.81,0
T8,36.09,26.51,195,fog,91.95,0
T2,56.45,82.2,1565,rain,42.91,0
T1,36.78,47.4,130,fog,12.73,0
T5,51.18,58.63,852,storm,66.34,0
T3,73.13,37.15,201,rain,98.65,0
T9,39.83,43.37,244,fog,84.41,0
T8,23.24,63.99,1060,rain,55.55,0
T3,50.81,22.8,1080,storm,75.09,0
T10,35.73,42.17,466,clear,67.39,0
T4,36.14,72.09,1239,rain,86.47,0
T5,22.8,60.82,553,rain,88.99,0
T7,55.73,31.6,1119,storm,44.92,0
T3,30.09,21.42,1661,storm,55.15,0
T5,46.41,80.53,731,fog,70.15,0
T8,29.04,54.27,1105,rain,18.31,0
T8,31.84,28.02,415,storm,32.72,0
T4,24.14,67.12,403,fog,31.6,0
T9,65.1,22.95,425,fog,38.47,0
T9,67.48,50.44,108,rain,39.47,0
T10,22.6,34.98,795,fog,71.17,0
T4,36.59,44.56,1123,fog,80.4,0
T7,43.81,27.87,194,storm,87.36,0
T6,51.27,65.22,376,fog,59.56,0
T4,43.5,66.2,1176,storm,11.02,0
T8,25.3,94.33,170,rain,72.6,0
T4,30.42,63.46,441,clear,47.69,0
T2,21.95,87.08,1496,rain,26.2,0
T10,39.84,65.36,172,rain,24.75,0
T3,32.61,49.33,398,storm,45.02,0
T10,20.21,88.01,1441,clear,32.41,0
T10,65.34,95.63,1285,fog,30.51,0
T10,29.21,57.89,1072,rain,71.2,0
T8,22.89,21.9,485,clear,97.55,0
T2,66.77,46.22,1662,clear,27.96,1
T9,53.33,65.87,1016,rain,84.06,0
T8,41.78,56.32,118,fog,22.94,0
T5,64.58,53.89,313,fog,96.46,1
T8,30.42,81.27,352,clear,30.5,0
T5,53.81,68.8,1403,fog,10.05,0
T9,22.99,80.15,423,rain,49.08,0
T9,48.46,59.98,1322,storm,92.72,0
T8,21.96,68.57,1577,storm,41.18,0
T4,23.34,77.85,174,clear,52.84,0
T4,40.2,93.52,1168,rain,35.99,0
T9,62.68,31.46,1609,storm,20.07,0
T9,28.6,29.72,1355,rain,46.48,0
T9,27.39,81.61,111,clear,57.6,0
T3,62.53,45.57,701,storm,16.77,0
T4,34.58,65.2,1106,clear,49.02,0
T6,29.38,93.46,1032,clear,12.18,0
T5,31.67,62.67,281,clear,84.32,0
T2,33.06,53.28,1333,rain,58.29,0
T6,52.33,59.01,1565,clear,83.12,0
T8,51.2,69.91,1448,fog,80.57,0
T7,57.42,96.67,320,rain,57.25,0
T1,36.9,89.13,1322,rain,25.23,0
T10,59.85,79.73,1524,fog,26.69,0
T9,47.93,41.84,1726,clear,71.1,0
T4,58.97,40.32,774,storm,70.23,0
T7,20.48,59.37,1156,clear,31.25,0
T6,72.26,82.72,312,rain,69.57,0
T7,57.91,70.88,1506,fog,36.68,0
T10,51.49,50.46,973,fog,28.7,0
