latency_ms,packet_loss_pct,availability_pct,energy_usage_pct,resource_utilization_pct,network_health_score,overall_health_index,health_category
59.02,4.87,95.7,33.36,54.64,25.57,50.775,Warning
51.29,2.53,96.87,40.28,75.61,42.5,51.667,Warning
34.85,2.5,92.4,65.01,68.07,41.46,48.748000000000005,Warning
53.34,1.52,90.07,86.03,46.0,29.66,51.348,Warning
45.57,2.3,99.72,55.62,35.63,53.25,48.845,Warning
5.93,2.11,99.23,85.86,76.01,71.96,47.775,Warning
58.49,0.87,98.03,35.85,64.34,49.8,51.387,Warning
57.17,2.63,90.51,41.02,97.09,24.63,53.18700000000001,Warning
33.81,2.9,91.65,24.64,67.99,42.67,44.39,Warning
49.5,3.0,90.91,30.61,44.09,31.86,45.543,Warning
29.58,3.29,99.37,32.03,35.86,59.53,43.503,Warning
47.41,1.78,98.71,46.64,82.59,51.28,52.552,Warning
38.47,1.31,98.81,59.4,94.49,57.32,53.119,Warning
49.01,0.47,94.72,22.19,20.77,54.41,42.655,Warning
53.61,0.23,99.33,79.65,82.63,53.26,56.818000000000005,Warning
26.76,2.92,91.86,63.39,74.87,42.97,47.612,Warning
19.55,3.01,97.0,43.09,46.95,60.57,42.916999999999994,Warning
45.45,1.39,93.47,54.78,59.67,44.26,48.993,Warning
58.87,0.16,97.46,92.49,58.51,46.63,56.16,Warning
8.2,0.53,99.65,57.3,30.64,84.44,40.488,Warning
58.15,1.41,98.61,40.32,55.36,48.47,51.20399999999999,Warning
50.89,4.93,99.66,88.72,69.12,31.8,57.33899999999999,Warning
43.55,2.07,98.03,61.23,60.63,50.44,50.925999999999995,Warning
37.32,3.55,96.78,41.72,79.86,45.27,49.721000000000004,Warning
51.25,1.23,96.2,86.3,86.7,42.55,56.779,Warning
12.21,0.58,95.24,69.23,67.79,69.95,44.89,Warning
52.23,2.18,91.92,37.99,44.96,35.53,46.971000000000004,Warning
49.32,4.04,99.59,58.33,43.3,41.37,51.116,Warning
13.7,4.12,95.61,90.06,73.95,49.68,49.06,Warning
37.06,4.71,91.42,55.21,54.99,28.78,47.271,Warning
45.96,4.8,96.21,76.31,32.59,31.59,50.385,Warning
37.14,4.98,96.1,58.59,27.1,37.81,46.321,Warning
57.77,3.03,94.73,32.5,81.64,32.29,52.29600000000001,Warning
7.18,4.82,90.55,83.85,58.97,41.33,44.32899999999999,Warning
45.66,2.04,93.28,58.69,24.43,41.87,46.03999999999999,Warning
46.47,4.51,96.43,72.78,95.31,30.37,56.385,Warning
15.04,4.27,95.3,26.65,54.26,54.83,40.97,Warning
57.24,3.79,94.63,64.36,92.66,24.87,56.676,Warning
49.01,2.19,90.4,43.47,80.88,32.05,50.014,Warning
43.03,0.39,99.04,77.59,88.56,58.11,55.050000000000004,Warning
34.01,0.17,94.53,58.45,33.76,60.27,44.43299999999999,Warning
23.62,0.88,93.66,44.53,83.26,60.14,45.865,Warning
48.77,3.66,96.05,88.57,97.5,30.83,58.274,Warning
5.11,0.88,98.79,54.25,72.0,81.09,43.548,Warning
23.94,1.51,94.15,62.87,21.77,59.03,41.95,Warning
30.38,3.99,95.51,72.82,44.59,43.32,47.667,Warning
38.91,2.79,99.41,87.58,79.49,48.77,55.148999999999994,Warning
27.11,0.8,92.9,36.81,72.75,58.22,44.488,Warning
38.9,1.22,99.4,89.02,21.46,59.38,49.014,Warning
31.96,1.26,95.87,66.31,21.08,58.55,44.269999999999996,Warning
57.66,1.17,91.48,22.16,55.92,37.48,47.135,Warning
30.86,4.6,99.77,83.36,94.45,44.96,55.263999999999996,Warning
13.25,4.73,94.05,25.53,23.16,52.8,37.153,Critical
35.94,1.23,91.47,22.83,27.79,51.53,40.06,Warning
26.06,2.39,96.81,69.14,79.97,55.14,49.883,Warning
26.67,0.47,95.72,78.52,47.73,62.85,46.81599999999999,Warning
16.01,1.81,93.2,89.55,68.54,55.36,47.514,Warning
44.21,0.42,90.08,24.58,58.92,46.16,44.342,Warning
14.76,0.92,93.15,65.34,40.81,64.29,41.788000000000004,Warning
39.88,4.37,90.57,33.88,93.57,27.27,49.202999999999996,Warning
52.04,0.22,92.09,55.21,83.83,42.15,52.005,Warning
5.58,0.93,95.9,25.23,91.63,76.73,41.851,Warning
38.22,3.61,99.78,37.97,48.08,52.37,47.266,Warning
44.36,1.39,93.72,55.75,94.96,43.55,52.476000000000006,Warning
23.94,0.13,90.95,82.44,79.18,54.71,48.274,Warning
44.53,1.07,99.44,40.5,26.74,61.41,45.782999999999994,Warning
43.57,3.98,92.12,42.61,71.09,30.37,48.914,Warning
40.59,2.79,95.77,25.81,24.67,49.44,42.734,Warning
48.76,0.24,93.77,27.24,85.88,50.07,49.267,Warning
39.64,3.89,95.92,24.35,61.75,43.11,46.48100000000001,Warning
38.53,2.74,99.81,90.89,29.93,52.19,50.553,Warning
30.9,1.76,95.1,64.27,22.87,55.27,43.952,Warning
7.24,4.92,90.34,76.81,55.08,41.3,43.215,Warning
7.59,4.72,98.84,46.5,91.79,60.28,46.415,Warning
34.75,4.95,92.01,75.91,93.54,26.16,52.983000000000004,Warning
23.8,4.06,95.27,67.66,42.59,47.08,45.583999999999996,Warning
23.34,0.35,99.59,57.7,82.86,73.5,48.706,Warning
46.42,3.94,97.7,77.67,54.04,37.39,52.947,Warning
57.94,1.98,94.06,73.04,33.71,34.44,51.075,Warning
36.2,3.27,90.65,36.09,34.79,37.87,42.504000000000005,Warning
55.05,2.91,91.17,85.14,97.55,21.35,57.503,Warning
40.64,3.69,95.11,81.24,48.28,36.88,50.720000000000006,Warning
21.76,4.02,99.94,49.1,22.58,60.66,42.708000000000006,Warning
22.2,1.09,91.14,54.2,79.02,54.12,45.431000000000004,Warning
14.62,0.35,97.64,60.67,29.58,77.19,41.346,Warning
30.6,2.03,91.64,30.59,43.0,49.56,41.58,Warning
18.16,0.95,91.86,35.53,36.51,62.67,38.679,Critical
27.41,3.17,97.08,79.79,73.59,50.21,50.895,Warning
7.54,4.51,99.09,25.14,51.14,66.04,40.21600000000001,Warning
35.01,0.2,98.46,83.58,89.0,62.14,53.858,Warning
53.79,3.0,93.51,55.16,80.34,30.2,53.260999999999996,Warning
12.98,3.17,97.89,75.1,80.6,60.62,48.483999999999995,Warning
22.58,2.79,99.3,87.6,82.89,58.22,52.192,Warning
26.05,4.29,99.86,76.93,34.86,53.21,47.63399999999999,Warning
54.94,3.38,92.94,93.68,41.24,24.57,53.376000000000005,Warning
24.64,4.46,97.0,48.76,46.26,49.73,44.867999999999995,Warning
50.56,4.39,93.7,83.67,38.85,24.77,51.791000000000004,Warning
50.53,2.01,99.48,21.03,82.98,52.35,50.95400000000001,Warning
16.77,3.65,98.33,84.79,91.49,55.28,51.576,Warning
47.22,0.24,93.85,68.34,76.54,47.53,52.159000000000006,Warning
51.5,1.69,98.95,86.89,20.44,48.83,51.224999999999994,Warning
36.04,0.17,93.47,67.67,66.46,54.39,48.713,Warning
41.73,1.97,93.15,71.36,23.71,43.11,46.389,Warning
53.15,4.9,92.14,77.99,20.82,19.06,49.623000000000005,Warning
42.83,0.71,93.36,83.46,38.47,47.22,48.98,Warning
28.29,1.26,98.19,77.84,22.71,64.18,45.547999999999995,Warning
22.51,4.12,99.23,70.09,21.43,56.28,44.659,Warning
56.16,4.05,96.4,81.4,84.48,26.49,57.955000000000005,Warning
14.99,0.32,90.92,49.0,85.21,62.1,43.791000000000004,Warning
48.94,3.65,97.47,76.85,69.89,36.14,54.798,Warning
46.69,1.93,95.96,94.04,92.31,40.22,57.34,Warning
41.34,1.01,91.92,63.95,46.97,45.24,47.23900000000001,Warning
54.83,3.91,99.8,87.83,98.12,33.47,60.67400000000001,Warning
42.12,0.52,97.42,81.11,95.38,54.09,55.455,Warning
24.33,0.0,90.9,63.99,58.8,57.85,44.415,Warning
31.9,0.68,94.74,47.19,57.86,59.32,45.511,Warning
29.43,1.1,90.45,48.67,33.67,51.21,41.585,Warning
25.85,1.66,93.73,58.89,22.93,56.61,41.969,Warning
25.77,3.08,93.4,85.98,70.34,43.83,49.73,Warning
24.01,3.11,90.77,67.91,63.68,41.6,46.12500000000001,Warning
26.01,0.89,90.27,21.4,84.73,54.13,43.163,Warning
21.05,1.82,98.4,70.12,71.65,64.48,48.452999999999996,Warning
45.01,1.33,92.17,77.01,55.31,40.22,50.284,Warning
40.2,0.87,98.13,49.8,41.84,60.73,46.903999999999996,Warning
5.05,2.85,99.8,69.31,27.43,74.0,41.479,Warning
48.63,4.9,96.7,89.97,69.9,27.22,56.193000000000005,Warning
30.46,0.84,93.29,58.17,35.7,56.53,43.718,Warning
10.29,4.46,97.63,40.19,90.52,58.24,45.75599999999999,Warning
6.63,0.59,92.13,41.44,21.61,72.12,35.447,Critical
29.22,0.07,96.11,68.34,54.61,64.78,46.993,Warning
7.55,2.35,95.87,72.89,34.15,66.5,41.68,Warning
47.51,2.68,98.77,82.14,38.72,45.47,52.022999999999996,Warning
25.54,2.31,97.16,61.99,43.06,59.12,45.45399999999999,Warning
37.83,3.43,97.46,39.6,29.92,49.64,44.785,Warning
7.73,0.28,97.63,31.62,94.18,81.35,43.498999999999995,Warning
36.62,4.44,91.17,72.28,96.17,26.14,52.852000000000004,Warning
18.24,2.35,94.32,91.21,30.73,55.31,44.842999999999996,Warning
59.2,0.34,91.1,81.21,59.03,33.9,53.296,Warning
54.58,0.46,96.73,71.68,50.93,48.71,52.334,Warning
40.28,4.52,98.28,47.22,88.38,40.66,52.456,Warning
35.56,2.91,96.91,63.79,64.56,48.33,49.893,Warning
55.37,2.72,92.7,85.35,52.82,27.39,53.516999999999996,Warning
31.42,3.21,92.3,51.88,29.95,42.99,43.12,Warning
47.3,3.55,95.03,77.74,43.51,34.0,51.159,Warning
35.97,3.2,97.72,56.2,29.89,50.72,46.079,Warning
35.81,3.13,93.6,68.09,86.04,38.94,51.593999999999994,Warning
49.44,0.44,90.6,37.01,49.08,43.16,45.809,Warning
53.15,4.07,95.62,52.16,26.09,32.49,48.362,Warning
35.26,1.7,92.71,70.89,87.28,44.32,51.192,Warning
24.88,1.39,94.1,49.22,44.97,59.13,43.042,Warning
46.19,4.17,95.34,79.13,34.34,32.49,50.438,Warning
5.5,4.1,91.67,26.4,61.04,53.83,38.575,Critical
36.73,2.73,96.31,63.96,25.03,49.28,45.957,Warning
34.03,1.1,90.36,67.78,48.5,45.63,45.872,Warning
38.58,0.4,99.25,55.75,87.95,63.39,51.981,Warning
33.18,1.18,97.72,61.85,47.8,61.07,47.271,Warning
28.46,1.27,96.44,32.22,62.62,63.12,44.489,Warning
24.66,0.77,97.03,25.03,20.44,71.88,38.818999999999996,Critical
45.87,4.82,99.42,81.64,33.26,37.36,51.936,Warning
44.7,4.34,98.23,53.08,23.92,41.43,47.411,Warning
20.91,2.22,99.89,53.42,83.31,66.61,48.488,Warning
11.67,3.7,94.3,43.87,83.16,54.53,44.437,Warning
44.24,1.95,94.23,47.91,85.5,43.12,51.04299999999999,Warning
10.67,1.2,99.55,29.08,90.14,79.29,44.281,Warning
22.55,0.74,96.46,64.92,52.29,66.57,45.39099999999999,Warning
5.21,4.89,91.43,83.1,55.74,44.19,43.822,Warning
29.71,0.61,97.89,59.16,67.2,65.61,48.128,Warning
14.96,1.64,98.24,63.23,54.71,70.25,44.75,Warning
17.37,3.48,97.38,51.23,26.4,60.5,41.495,Warning
54.97,0.64,90.57,88.96,90.92,31.52,56.345,Warning
27.34,4.84,94.35,43.65,34.12,42.02,43.001999999999995,Warning
35.43,0.97,90.14,46.02,41.93,47.45,43.214,Warning
7.57,0.99,95.29,85.09,33.77,70.91,42.284,Warning
20.06,3.99,91.17,62.61,57.18,41.25,44.539,Warning
59.49,0.65,99.2,94.97,25.15,48.69,53.865,Warning
41.1,2.92,92.63,38.58,42.32,40.02,44.974999999999994,Warning
38.71,5.0,90.9,58.82,77.01,23.85,50.095,Warning
54.99,4.28,95.15,69.85,82.79,24.78,56.09100000000001,Warning
50.54,1.73,95.68,49.35,69.89,43.98,51.25500000000001,Warning
47.64,0.9,91.42,42.4,57.94,42.61,47.257999999999996,Warning
13.75,0.6,99.55,89.92,22.08,77.73,43.995000000000005,Warning
51.92,1.57,96.42,91.89,89.56,40.17,57.926,Warning
10.82,3.3,98.26,36.85,97.22,64.97,46.03900000000001,Warning
23.67,2.88,90.88,71.77,48.96,43.51,44.935,Warning
27.36,4.18,93.28,39.74,84.45,41.05,47.129,Warning
33.48,0.01,96.09,54.34,25.22,65.37,43.48199999999999,Warning
19.68,2.39,91.63,28.96,63.5,53.4,41.388,Warning
36.31,4.1,90.68,75.54,30.94,29.99,46.344,Warning
16.28,4.59,91.6,94.04,98.53,36.16,51.370000000000005,Warning
23.96,0.08,99.12,88.84,26.73,73.23,46.109,Warning
36.36,4.12,96.08,36.82,57.56,43.18,46.77,Warning
26.18,4.58,99.12,57.24,32.38,52.29,45.30800000000001,Warning
5.79,4.79,97.04,56.65,23.23,59.83,39.695,Critical
42.7,1.58,98.76,66.95,37.95,55.41,49.132000000000005,Warning
32.88,1.01,92.75,53.19,90.96,50.85,49.119,Warning
59.65,3.68,93.27,55.62,81.51,22.71,54.728,Warning
14.63,4.62,90.21,37.28,64.26,41.59,41.529,Warning
59.01,1.7,94.05,24.19,73.16,38.12,50.262,Warning
41.43,2.97,98.79,26.55,53.34,52.54,46.803000000000004,Warning
31.41,1.49,95.11,20.95,91.38,57.28,46.495,Warning
45.66,0.75,97.38,28.4,27.65,59.38,44.176,Warning
13.65,0.06,91.87,74.91,64.35,64.51,44.235,Warning
47.04,4.01,94.61,60.22,29.32,33.43,47.948,Warning
50.89,2.75,93.84,63.7,50.11,34.53,50.53600000000001,Warning
57.83,3.28,98.95,83.67,70.44,34.92,57.646,Warning
38.4,2.42,99.85,72.77,22.57,56.15,47.894999999999996,Warning
56.75,2.12,96.79,94.93,73.19,35.78,57.835,Warning
51.25,3.37,92.05,35.45,49.23,30.49,47.344,Warning
25.78,2.55,92.1,46.09,22.72,50.26,40.432,Warning
38.96,1.54,97.91,34.84,42.21,59.16,45.331999999999994,Warning
25.83,4.23,98.47,29.97,25.9,55.97,41.563,Warning
32.63,3.23,91.48,46.88,74.45,38.83,47.072,Warning
43.46,4.53,95.21,92.46,72.92,28.8,55.152,Warning
23.96,4.54,90.91,66.23,59.45,35.15,45.995,Warning
16.02,3.99,90.93,78.93,48.6,42.0,44.433,Warning
28.48,1.25,92.95,30.01,34.31,57.82,40.388,Warning
37.56,0.41,91.98,86.01,53.09,48.1,49.138999999999996,Warning
19.14,2.66,95.33,36.57,31.69,60.64,40.051,Warning
10.03,2.18,94.24,62.18,22.88,64.2,39.437999999999995,Critical
52.0,4.3,94.35,52.26,37.57,28.92,48.977999999999994,Warning
46.87,2.39,93.93,26.58,54.79,42.39,46.407000000000004,Warning
10.24,2.52,94.1,28.94,83.55,62.4,42.283,Warning
40.31,3.03,99.82,66.07,97.78,48.79,55.302,Warning
32.79,3.27,91.51,57.1,26.68,39.97,43.37,Warning
42.52,2.29,90.71,80.1,60.69,33.42,50.483,Warning
24.18,0.35,94.15,88.1,82.44,59.13,50.24,Warning
28.45,2.71,96.02,80.0,51.1,50.87,48.419,Warning
7.67,2.75,96.47,27.14,93.68,67.18,43.382,Warning
25.45,0.99,92.73,60.64,76.86,55.34,46.955999999999996,Warning
29.21,4.62,94.06,31.23,50.09,41.86,43.577999999999996,Warning
17.88,1.84,96.27,64.52,81.65,62.07,47.626,Warning
36.56,4.38,94.51,45.73,95.67,35.84,51.119,Warning
55.17,1.05,90.45,78.74,63.83,31.5,52.74100000000001,Warning
53.85,2.05,94.12,64.31,77.51,35.35,53.80300000000001,Warning
28.12,1.78,97.78,68.17,90.75,58.43,51.384,Warning
59.19,1.45,98.71,89.94,62.19,42.56,57.099,Warning
14.79,0.37,91.06,71.26,74.57,60.56,44.970000000000006,Warning
45.59,1.4,98.48,70.21,78.98,51.64,54.001000000000005,Warning
49.32,3.45,97.36,80.29,78.12,35.94,55.94800000000001,Warning
17.5,0.39,99.27,92.67,56.02,74.01,48.266999999999996,Warning
30.21,1.88,96.89,82.47,27.25,56.63,46.645,Warning
51.22,1.4,91.79,75.87,93.77,33.59,55.165000000000006,Warning
34.01,1.39,91.34,29.64,95.0,47.6,47.085,Warning
17.98,2.45,99.33,28.1,64.95,69.58,43.435,Warning
19.52,0.11,93.5,42.97,42.37,68.3,40.521,Warning
21.36,3.49,91.22,65.94,58.0,42.68,45.07900000000001,Warning
30.03,2.03,93.79,54.35,95.0,49.21,49.687000000000005,Warning
45.24,3.57,99.19,66.79,44.61,44.48,51.016,Warning
33.65,0.31,92.19,57.94,31.66,55.27,43.44,Warning
28.02,1.02,94.51,91.55,39.88,55.97,47.406000000000006,Warning
27.18,3.93,92.71,31.75,42.49,44.13,41.852,Warning
22.39,2.43,94.52,75.76,24.68,54.67,43.607,Warning
32.57,3.23,92.27,57.37,51.84,40.5,46.08500000000001,Warning
57.62,0.1,99.07,69.97,93.9,51.39,57.662,Warning
59.49,1.5,94.42,63.8,66.95,35.93,53.749,Warning
22.44,2.13,96.42,35.68,53.56,62.48,42.977,Warning
24.15,0.36,98.69,90.47,72.84,68.39,50.876,Warning
42.59,2.42,94.5,72.48,93.51,39.42,54.193,Warning
30.62,0.46,95.75,35.61,55.54,64.5,44.102,Warning
57.5,0.48,95.9,88.13,40.31,44.05,53.258,Warning
23.2,3.41,94.04,51.28,83.07,47.82,47.31,Warning
59.56,0.08,96.08,49.25,84.39,46.9,54.124,Warning
43.99,2.21,99.29,90.95,74.52,48.31,55.794999999999995,Warning
56.33,3.42,96.23,47.87,79.42,32.8,53.89,Warning
34.74,0.91,94.89,59.26,98.85,53.51,51.499,Warning
29.76,2.81,97.4,80.96,67.52,51.41,50.86300000000001,Warning
43.56,0.72,93.04,62.25,97.25,45.25,52.790000000000006,Warning
27.44,2.69,93.49,81.75,40.14,46.9,46.531,Warning
5.33,2.87,97.04,21.53,32.25,72.78,36.417,Critical
22.77,2.37,93.7,63.3,51.56,52.99,44.861,Warning
6.71,1.01,95.7,75.55,31.91,73.18,41.101,Warning
17.61,3.25,95.17,25.76,38.68,59.02,39.492000000000004,Critical
35.52,3.49,94.03,87.27,96.13,35.75,54.7,Warning
17.16,2.5,91.47,77.05,51.03,49.86,44.431,Warning
22.69,4.41,99.65,75.8,67.42,52.71,50.078,Warning
36.58,0.08,94.13,30.92,49.79,60.33,43.64999999999999,Warning
13.96,1.05,96.14,24.69,54.26,73.49,39.844,Critical
41.83,4.94,96.3,30.6,51.25,37.18,46.923,Warning
12.46,4.45,99.94,78.18,82.72,58.2,49.898999999999994,Warning
53.94,4.71,94.38,75.72,48.79,22.83,52.966,Warning
23.69,4.99,96.11,55.99,77.68,43.54,48.435,Warning
5.91,2.72,91.21,68.27,67.39,55.07,42.92699999999999,Warning
51.31,0.59,98.5,87.04,92.1,49.93,57.903,Warning
22.61,2.65,99.33,80.29,52.63,61.18,48.408,Warning
26.3,4.55,99.3,86.56,79.91,47.42,53.062,Warning
28.44,0.57,91.53,47.55,97.07,53.53,47.78,Warning
7.7,3.89,96.78,77.44,37.24,59.89,43.209,Warning
59.23,4.04,94.74,35.35,74.91,26.49,52.506,Warning
13.15,3.9,93.23,56.36,42.27,51.3,41.632000000000005,Warning
25.74,0.19,91.06,61.99,83.99,55.31,47.121,Warning
53.86,2.64,97.52,26.43,61.43,43.79,49.605999999999995,Warning
16.27,1.94,96.24,26.6,24.8,69.11,37.848,Critical
55.93,1.75,98.16,27.68,60.17,48.21,49.944,Warning
37.22,4.4,97.43,70.85,69.17,39.97,51.995,Warning
44.8,3.8,90.79,29.62,69.39,29.25,47.23800000000001,Warning
17.24,2.38,97.75,36.1,38.56,67.71,40.953,Warning
22.24,4.99,92.25,50.37,32.17,39.58,41.873999999999995,Warning
11.11,2.69,90.16,85.96,75.93,47.79,46.266000000000005,Warning
49.67,4.71,93.94,26.16,69.56,28.46,49.101,Warning
24.7,1.46,94.83,94.22,59.76,55.13,49.224999999999994,Warning
35.25,1.87,98.24,59.42,20.74,59.01,45.099,Warning
30.33,3.34,95.49,28.02,98.89,48.34,48.406,Warning
17.45,4.36,99.33,51.2,33.68,59.57,43.085,Warning
7.5,4.35,96.17,83.93,41.33,55.62,44.182,Warning
44.36,2.28,92.59,70.17,60.61,37.13,50.411,Warning
52.37,0.67,98.57,92.63,37.6,51.21,53.26899999999999,Warning
41.62,3.48,97.39,69.5,84.24,41.25,53.959,Warning
6.78,2.37,93.22,29.75,85.86,63.25,41.593999999999994,Warning
27.5,1.93,91.03,87.47,27.41,45.78,44.876,Warning
45.69,2.83,97.77,56.6,34.86,46.57,48.46399999999999,Warning
39.98,0.75,95.99,76.34,24.97,55.35,47.149,Warning
8.79,2.58,99.0,42.56,20.36,74.54,38.524,Critical
10.7,3.52,96.68,89.14,32.64,58.79,44.37800000000001,Warning
9.86,4.01,99.1,29.74,22.26,68.16,38.10499999999999,Critical
17.26,3.43,98.87,87.03,56.94,58.69,48.53900000000001,Warning
54.64,0.02,96.3,55.94,41.02,52.08,49.519999999999996,Warning
18.9,3.36,99.94,87.01,52.32,60.42,48.702999999999996,Warning
15.11,0.58,93.22,78.69,31.45,65.06,42.176,Warning
38.56,4.6,97.15,61.07,39.93,40.06,48.337,Warning
58.04,1.78,91.75,88.97,45.04,28.6,53.068,Warning
38.97,0.99,96.52,83.1,34.52,54.67,48.809,Warning
25.14,1.99,94.9,28.25,67.96,58.53,43.716,Warning
53.79,4.73,96.34,61.39,82.77,26.49,55.495000000000005,Warning
39.8,0.58,95.03,88.48,88.82,50.01,54.373,Warning
42.66,2.12,95.1,44.99,72.92,45.84,49.489,Warning
12.45,1.23,97.95,89.85,58.5,70.39,47.079,Warning
11.97,3.73,93.42,38.4,32.8,55.51,38.659000000000006,Critical
48.38,0.36,96.96,23.2,36.98,58.9,44.89,Warning
28.09,3.47,94.13,71.16,59.42,43.97,47.955999999999996,Warning
27.3,2.58,90.05,66.56,74.66,40.41,47.370999999999995,Warning
41.66,0.16,98.44,90.55,79.8,58.05,54.94699999999999,Warning
14.02,2.35,97.33,63.75,35.51,66.36,42.634,Warning
46.87,1.97,97.46,80.12,78.23,45.0,55.038,Warning
52.67,4.81,90.55,25.97,74.61,19.1,49.199999999999996,Warning
12.69,2.45,91.57,59.25,77.2,53.49,44.388999999999996,Warning
36.75,2.1,93.23,30.87,30.62,49.3,42.098,Warning
47.04,2.6,90.8,23.6,66.26,34.69,46.414,Warning
33.37,0.75,98.99,78.72,52.17,63.72,49.684999999999995,Warning
32.7,3.09,90.28,36.24,92.93,37.24,47.468,Warning
49.44,4.16,90.2,69.97,38.66,21.02,49.059,Warning
24.8,3.79,97.45,32.75,28.62,56.37,41.469,Warning
54.64,3.67,92.49,51.17,37.67,26.85,48.660000000000004,Warning
33.87,0.38,95.56,61.92,36.55,60.86,45.403,Warning
9.55,1.07,94.01,63.03,82.49,66.5,44.986000000000004,Warning
42.06,4.74,91.82,32.06,51.95,28.89,45.781,Warning
32.79,0.28,91.05,94.78,39.25,49.6,47.35999999999999,Warning
40.9,1.99,98.56,27.71,56.21,57.05,46.737,Warning
40.88,4.3,90.43,25.84,93.96,27.57,48.575,Warning
52.6,3.62,96.65,60.53,46.79,35.24,51.333,Warning
16.29,4.19,95.63,47.37,70.69,52.28,45.01,Warning
20.24,2.18,94.31,72.28,73.22,54.68,47.545,Warning
30.09,1.48,91.39,45.44,74.97,49.05,45.919999999999995,Warning
7.42,0.67,91.85,46.75,83.28,67.07,42.242999999999995,Warning
32.77,0.11,90.43,48.61,79.25,51.81,46.501999999999995,Warning
